Date,6M_R,1Y_R,2Y_R,3Y_R,4Y_R,5Y_R,10Y_R
2005-01-06,8.7587,8.7587,8.7814,8.8117,8.8269,8.8266,8.8213
2005-01-07,8.7942,8.7942,8.8121,8.8355,8.8472,8.8456,8.8282
2005-01-10,8.8127,8.8127,8.8265,8.8446,8.8536,8.8486,8.8335
2005-01-11,8.8154,8.8154,8.8295,8.8474,8.8564,8.8526,8.8375
2005-01-12,8.8224,8.8224,8.8360,8.8533,8.8619,8.8578,8.8420
2005-01-13,8.8180,8.8180,8.8323,8.8502,8.8591,8.8559,8.8468
2005-01-14,8.8174,8.8174,8.8322,8.8505,8.8597,8.8559,8.8428
2005-01-17,8.8182,8.8182,8.8321,8.8492,8.8577,8.8553,8.8455
2005-01-18,8.8227,8.8227,8.8348,8.8493,8.8565,8.8546,8.8546
2005-01-19,8.8252,8.8252,8.8361,8.8492,8.8557,8.8538,8.8493
2005-01-20,8.8382,8.8382,8.8447,8.8524,8.8562,8.8536,8.8491
2005-01-21,8.8308,8.8308,8.8394,8.8495,8.8545,8.8511,8.8458
2005-01-24,8.8390,8.8390,8.8442,8.8502,8.8532,8.8519,8.8479
2005-01-25,8.8179,8.8179,8.8311,8.8462,8.8538,8.8530,8.8478
2005-01-26,8.8232,8.8232,8.8341,8.8464,8.8525,8.8521,8.8501
2005-01-27,8.8236,8.8236,8.8353,8.8483,8.8548,8.8530,8.8440
2005-01-28,8.8252,8.8252,8.8363,8.8485,8.8546,8.8525,8.8453
2005-01-31,8.8252,8.8252,8.8462,8.8690,8.8804,8.8742,8.8555
2005-02-01,8.8447,8.8447,8.8540,8.8640,8.8690,8.8625,8.8487
2005-02-02,9.4000,9.4000,9.2092,9.0061,8.9047,8.8714,8.8313
2005-02-03,9.3521,9.3521,9.1761,8.9907,8.8981,8.8659,8.8311
2005-02-04,9.3924,9.3924,9.2127,9.0254,8.9319,8.8885,8.8272
2005-02-09,9.3791,9.3791,9.2047,9.0250,8.9353,8.8920,8.8272
2005-02-10,9.3861,9.3861,9.2089,9.0282,8.9379,8.8930,8.8250
2005-02-11,9.9557,9.9557,9.5564,9.1545,8.9540,8.8828,8.8013
2005-02-14,10.2511,10.2511,9.7910,9.3328,9.1044,8.9820,8.8041
2005-02-15,10.2391,10.2391,9.7799,9.3275,9.1019,8.9799,8.7958
2005-02-16,10.2375,10.2375,9.7922,9.3579,9.1414,9.0068,8.7885
2005-02-17,10.2405,10.2405,9.7951,9.3652,9.1509,9.0152,8.7881
2005-02-18,10.2591,10.2591,9.8120,9.3849,9.1720,9.0247,8.7839
2005-02-21,10.4260,10.4260,9.9143,9.4308,9.1899,9.0309,8.7782
2005-02-22,10.4100,10.4100,9.8996,9.4223,9.1844,9.0337,8.7782
2005-02-23,10.4372,10.4372,9.9341,9.4684,9.2362,9.0677,8.7870
2005-02-24,10.5053,10.5053,9.9730,9.4853,9.2422,9.0645,8.7829
2005-02-25,10.6048,10.6048,10.0312,9.5113,9.2522,9.0701,8.7893
2005-02-28,10.6250,10.6250,10.0424,9.5195,9.2590,9.0701,8.7959
2005-03-01,10.7002,10.7002,10.0800,9.5292,9.2548,9.0663,8.8068
2005-03-02,10.7341,10.7341,10.1030,9.5481,9.2717,9.0818,8.8091
2005-03-03,10.7257,10.7257,10.0972,9.5501,9.2775,9.0848,8.8081
2005-03-04,10.7142,10.7142,10.0885,9.5490,9.2803,9.0846,8.8064
2005-03-07,10.7432,10.7432,10.0982,9.5477,9.2735,9.0761,8.8042
2005-03-08,10.7398,10.7398,10.1040,9.5666,9.2989,9.0974,8.8096
2005-03-09,10.7414,10.7414,10.1131,9.5871,9.3251,9.1147,8.8118
