Date,1M_N,2M_N,3M_N,4M_N,6M_N,9M_N,1Y_N,1.5Y_N,2Y_N,2.5Y_N,3Y_N,4Y_N,5Y_N,7Y_N,8Y_N,10Y_N,,,,,,,,,,,,,,,,,,,,,
2007-01-02,12.8692,12.8692,12.8612,12.7370,12.6102,12.4694,12.3678,12.2637,12.2254,12.2578,12.2796,12.3160,12.3378,12.3592,12.3659,12.3752,,,,,,,,,,,,,,,,,,,,,
2007-01-03,12.8623,12.8623,12.8457,12.7193,12.5900,12.4640,12.3559,12.2695,12.2282,12.2694,12.2970,12.3421,12.3692,12.4008,12.4106,12.4245,,,,,,,,,,,,,,,,,,,,,
2007-01-04,12.8905,12.8905,12.8670,12.7497,12.6290,12.5129,12.4155,12.3590,12.3274,12.3648,12.3902,12.4489,12.4842,12.5292,12.5432,12.5629,,,,,,,,,,,,,,,,,,,,,
2007-01-05,12.8848,12.8848,12.8577,12.7580,12.6544,12.5547,12.4952,12.4361,12.3994,12.4427,12.4720,12.5274,12.5610,12.6192,12.6456,12.6826,,,,,,,,,,,,,,,,,,,,,
2007-01-08,12.8876,12.8876,12.8559,12.7641,12.6706,12.5936,12.5276,12.4947,12.4865,12.5195,12.5424,12.5980,12.6321,12.7037,12.7318,12.7710,,,,,,,,,,,,,,,,,,,,,
2007-01-09,12.8947,12.8947,12.8556,12.7627,12.6652,12.5736,12.5093,12.4798,12.4918,12.5395,12.5717,12.6219,12.6528,12.7170,12.7354,12.7612,,,,,,,,,,,,,,,,,,,,,
2007-01-10,12.8791,12.8791,12.8377,12.7549,12.6639,12.5636,12.4906,12.4603,12.4618,12.5009,12.5284,12.5918,12.6307,12.7016,12.7224,12.7515,,,,,,,,,,,,,,,,,,,,,
2007-01-11,12.8679,12.8679,12.8212,12.7410,12.6527,12.5560,12.4720,12.4551,12.4512,12.4881,12.5136,12.5645,12.5958,12.6596,12.6894,12.7312,,,,,,,,,,,,,,,,,,,,,
2007-01-12,12.8671,12.8671,12.8123,12.7301,12.6458,12.5712,12.4943,12.4929,12.4913,12.5494,12.5885,12.6435,12.6775,12.7455,12.7667,12.7964,,,,,,,,,,,,,,,,,,,,,
2007-01-15,12.8749,12.8749,12.8182,12.7432,12.6652,12.5967,12.5427,12.5652,12.5685,12.6095,12.6389,12.7080,12.7496,12.8021,12.8326,12.8752,,,,,,,,,,,,,,,,,,,,,
2007-01-16,12.8488,12.8488,12.7829,12.7052,12.6224,12.5468,12.4941,12.5059,12.5150,12.5699,12.6077,12.6714,12.7105,12.7768,12.8029,12.8395,,,,,,,,,,,,,,,,,,,,,
2007-01-17,12.8271,12.8271,12.7555,12.6794,12.5985,12.5226,12.4650,12.4742,12.4744,12.5269,12.5634,12.6292,12.6689,12.7230,12.7591,12.8096,,,,,,,,,,,,,,,,,,,,,
2007-01-18,12.8084,12.8084,12.7350,12.6644,12.5837,12.4972,12.4310,12.4110,12.3961,12.4438,12.4773,12.5395,12.5779,12.6476,12.6891,12.7473,,,,,,,,,,,,,,,,,,,,,
2007-01-19,12.7998,12.7998,12.7254,12.6603,12.5827,12.5000,12.4443,12.3938,12.3676,12.4184,12.4548,12.5276,12.5717,12.6303,12.6716,12.7295,,,,,,,,,,,,,,,,,,,,,
2007-01-22,12.7862,12.7862,12.7117,12.6522,12.5734,12.4785,12.4093,12.3595,12.3436,12.3923,12.4281,12.5069,12.5545,12.6150,12.6603,12.7239,,,,,,,,,,,,,,,,,,,,,
2007-01-23,12.7889,12.7889,12.7051,12.6437,12.5697,12.4906,12.4285,12.3724,12.3609,12.4170,12.4556,12.5152,12.5522,12.6169,12.6650,12.7325,,,,,,,,,,,,,,,,,,,,,
2007-01-24,12.7972,12.7972,12.7110,12.6527,12.5982,12.5443,12.4746,12.4203,12.3747,12.4229,12.4566,12.5134,12.5488,12.6133,12.6471,12.6943,,,,,,,,,,,,,,,,,,,,,
2007-01-25,12.7972,12.7972,12.7068,12.6503,12.5974,12.5428,12.4739,12.4197,12.3752,12.4232,12.4569,12.5135,12.5490,12.6135,12.6472,12.6944,,,,,,,,,,,,,,,,,,,,,
2007-01-26,12.8923,12.8923,12.7968,12.7415,12.6582,12.5566,12.4902,12.4684,12.4563,12.5110,12.5494,12.6127,12.6517,12.7102,12.7220,12.7384,,,,,,,,,,,,,,,,,,,,,
2007-01-29,12.8756,12.8756,12.7757,12.7221,12.6436,12.5435,12.4682,12.4315,12.4189,12.4760,12.5153,12.5730,12.6094,12.6768,12.6965,12.7240,,,,,,,,,,,,,,,,,,,,,
2007-01-30,12.8600,12.8600,12.7548,12.7022,12.6208,12.5228,12.4600,12.4310,12.4276,12.4811,12.5184,12.5765,12.6137,12.6880,12.7190,12.7625,,,,,,,,,,,,,,,,,,,,,
2007-01-31,12.8692,12.8607,12.7449,12.6871,12.5937,12.4836,12.4153,12.3678,12.3472,12.4007,12.4379,12.4950,12.5320,12.6123,12.6594,12.7253,,,,,,,,,,,,,,,,,,,,,
2007-02-01,12.8790,12.8613,12.7436,12.6848,12.5894,12.4821,12.4109,12.3474,12.3304,12.3798,12.4141,12.4659,12.4992,12.5692,12.6321,12.7203,,,,,,,,,,,,,,,,,,,,,
